hcp_id,specialty,locality,zone,Expected_3M_Demand,Potential_Score,Potential_Category,Samples
NPIIN0000008740,Diabetology,Velachery,South Chennai,3.696660605783541,100.0,Very High,182
NPIIN0000004976,Endocrinology,Madhavaram,North Chennai,3.147553605054741,87.5,Very High,160
NPIIN0000008759,Diabetology,Perambur,North Chennai,3.3012032524283046,86.9,Very High,158
NPIIN0000000586,Diabetology,Velachery,South Chennai,2.898079717116494,80.5,Very High,147
NPIIN0000007749,Diabetology,Anna Nagar,Central Chennai,2.9097538126012874,80.1,Very High,146
NPIIN0000000909,Diabetology,Egmore,Central Chennai,2.7320176222972936,74.8,High,136
NPIIN0000009278,Diabetology,T Nagar,Central Chennai,2.4740218054810614,72.3,High,132
NPIIN0000003326,Diabetology,Guindy,South Chennai,2.4536704299168344,71.5,High,130
NPIIN0000001944,Endocrinology,Mylapore,Central Chennai,2.48991383954269,71.4,High,130
NPIIN0000011226,Endocrinology,Nungambakkam,Central Chennai,2.564428907215191,70.8,High,129
NPIIN0000006458,Diabetology,Velachery,South Chennai,2.5567124398002816,69.2,High,126
NPIIN0000008332,Endocrinology,Adyar,South Chennai,2.403561295369658,68.1,High,124
NPIIN0000008909,Diabetology,Tondiarpet,North Chennai,2.295185344259853,68.0,High,124
NPIIN0000002362,Endocrinology,Nungambakkam,Central Chennai,2.273122629030175,66.9,High,122
NPIIN0000008359,Diabetology,Tambaram,South Chennai,2.219848278389945,65.7,High,120
NPIIN0000001831,Endocrinology,Royapuram,North Chennai,2.1921973735247553,64.6,High,118
NPIIN0000011182,Endocrinology,Kilpauk,Central Chennai,2.289569606825651,64.0,High,117
NPIIN0000007584,Diabetology,Porur,South Chennai,2.4898804542547,62.9,High,115
NPIIN0000010166,Diabetology,Adyar,South Chennai,2.0779646432590706,62.7,High,114
NPIIN0000005464,Endocrinology,Tambaram,South Chennai,2.0441174765193892,60.6,High,111
NPIIN0000003401,Diabetology,Kilpauk,Central Chennai,1.9953181580826889,60.4,High,110
NPIIN0000001850,Diabetology,Sholinganallur,South Chennai,2.2187250580441,59.5,Medium,108
NPIIN0000001755,Diabetology,Mylapore,Central Chennai,2.1136164301901585,59.3,Medium,108
NPIIN0000010887,Endocrinology,Madhavaram,North Chennai,1.9381252871919226,58.9,Medium,107
NPIIN0000008202,Endocrinology,Guindy,South Chennai,1.9900728157318668,58.5,Medium,107
NPIIN0000002670,Endocrinology,Royapuram,North Chennai,1.9194028469369975,57.3,Medium,105
NPIIN0000011419,Endocrinology,Tambaram,South Chennai,2.0412900546386625,57.3,Medium,104
NPIIN0000009934,Diabetology,Mylapore,Central Chennai,1.9894478015897556,57.2,Medium,104
NPIIN0000009706,Diabetology,T Nagar,Central Chennai,1.860045421488088,56.8,Medium,104
NPIIN0000004361,Endocrinology,T Nagar,Central Chennai,1.9400805607480454,56.8,Medium,104
NPIIN0000009519,Diabetology,Mylapore,Central Chennai,1.8479198138131605,56.5,Medium,103
NPIIN0000010903,Endocrinology,Madhavaram,North Chennai,1.958636263882249,56.5,Medium,103
NPIIN0000000196,Endocrinology,Nungambakkam,Central Chennai,1.8878336974417655,56.4,Medium,103
NPIIN0000007095,Endocrinology,Guindy,South Chennai,1.9566180851056658,56.2,Medium,103
NPIIN0000005734,Endocrinology,Tambaram,South Chennai,1.877761571499847,56.1,Medium,102
NPIIN0000010516,Endocrinology,Kilpauk,Central Chennai,1.8476869480175198,55.7,Medium,102
NPIIN0000005935,Endocrinology,Nungambakkam,Central Chennai,1.9492033292167779,55.5,Medium,101
NPIIN0000006835,Endocrinology,Ambattur,North Chennai,1.7977292055572067,54.6,Medium,100
NPIIN0000001317,Diabetology,Ambattur,North Chennai,1.8047759630164588,54.4,Medium,99
NPIIN0000004268,Endocrinology,Tambaram,South Chennai,1.7882158717396648,54.1,Medium,99
NPIIN0000007885,Diabetology,Nungambakkam,Central Chennai,1.905374598163086,54.0,Medium,98
NPIIN0000004602,Endocrinology,Porur,South Chennai,1.847624587371206,53.7,Medium,98
NPIIN0000007221,Endocrinology,Kilpauk,Central Chennai,1.7858274482693692,53.4,Medium,97
NPIIN0000004343,Diabetology,Madhavaram,North Chennai,1.8268406363180678,53.1,Medium,97
NPIIN0000007295,Endocrinology,Velachery,South Chennai,1.7169522558956667,52.7,Medium,96
NPIIN0000005370,Diabetology,Mylapore,Central Chennai,1.7679816838419327,52.5,Medium,96
NPIIN0000007970,Endocrinology,Nungambakkam,Central Chennai,1.712326754434373,52.3,Medium,95
