hcp_id,specialty,locality,Probability_Active,Positive_Demand,Expected_3M_Demand,hcp_potential_score_raw,Potential_Score,Potential_Category,final_hcp_score
NPIIN0000008740,Diabetology,Velachery,0.8578105874835072,3.9409856955595495,3.9409856955595495,76.1,100.0,Very High,0.9760862233788206
NPIIN0000000586,Diabetology,Velachery,0.8982358415198548,3.123365096841532,3.123365096841532,81.9,81.5,Very High,0.7951347786399139
NPIIN0000002362,Endocrinology,Nungambakkam,0.9433657077460889,2.73292906278965,2.73292906278965,93.6,73.5,High,0.7177126109019013
NPIIN0000004976,Endocrinology,Madhavaram,0.8226721445665849,2.7178075908843664,2.7178075908843664,85.6,72.3,High,0.7062246728700421
NPIIN0000001831,Endocrinology,Royapuram,0.89401920121844,2.6890751540188895,2.6890751540188895,87.2,71.8,High,0.7012572333375979
NPIIN0000000909,Diabetology,Egmore,0.7728707595957173,2.631568012111691,2.631568012111691,70.4,68.8,High,0.6713622265035986
NPIIN0000001944,Endocrinology,Mylapore,0.9588283836854723,2.4268886146866535,2.4268886146866535,95.4,66.5,High,0.6495877639168518
NPIIN0000008332,Endocrinology,Adyar,0.8521896554834252,2.470742754621559,2.470742754621559,83.0,66.3,High,0.6472323658892017
NPIIN0000009278,Diabetology,T Nagar,0.9236018751008839,2.3884572386214593,2.3884572386214593,97.2,65.8,High,0.6426067593306845
NPIIN0000005734,Endocrinology,Tambaram,0.8424399824222688,2.3963353149519016,2.3963353149519016,90.2,65.3,High,0.6374178589362062
NPIIN0000006458,Diabetology,Velachery,0.7294541205308586,2.5038135025242965,2.5038135025242965,64.7,65.2,High,0.6364487412829963
NPIIN0000008759,Diabetology,Perambur,0.4461745568008734,2.586691852417363,2.586691852417363,38.6,64.5,High,0.6292861923877052
NPIIN0000003193,Diabetology,Madhavaram,0.9265564272388154,2.3705911106248347,2.3705911106248347,70.0,62.6,High,0.6113272927810848
NPIIN0000007749,Diabetology,Anna Nagar,0.7768045041871104,2.3635008511074904,2.3635008511074904,71.0,62.6,High,0.6107307661429335
